stage,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs,num_train_samples,seed
stage2a_small_formal,LS,0.5000,10,0.55026725,0.27586140,0.37142722,0.00000000,0.63525854,0,1024,42
stage2a_small_formal,DnCNN,0.5000,10,0.54635031,0.27389703,0.36794446,0.00271819,0.63465738,5,1024,42
stage2a_small_formal,PICASSO,0.5000,10,0.55971084,0.28058166,0.37200814,0.00729113,0.64198717,5,1024,42
stage2a_small_formal,LS,0.5000,20,0.50538559,0.25336373,0.31054609,0.00000000,0.68475927,0,1024,42
stage2a_small_formal,DnCNN,0.5000,20,0.50528278,0.25331177,0.31054704,0.00005183,0.68467736,5,1024,42
stage2a_small_formal,PICASSO,0.5000,20,0.52006278,0.26070453,0.31624798,0.00116525,0.69629776,5,1024,42
stage2a_small_formal,LS,0.5000,30,0.50089742,0.25111397,0.29129379,0.00000000,0.69045199,0,1024,42
stage2a_small_formal,DnCNN,0.5000,30,0.50088713,0.25110899,0.29163783,0.00004151,0.69039590,5,1024,42
stage2a_small_formal,PICASSO,0.5000,30,0.50369867,0.25251305,0.29631241,0.00064755,0.68974136,5,1024,42
stage2a_small_formal,LS,0.2500,10,0.77439379,0.38820980,0.46797642,0.00000000,0.46761296,0,1024,42
stage2a_small_formal,DnCNN,0.2500,10,0.77283687,0.38742833,0.46653188,0.00162517,0.47025375,5,1024,42
stage2a_small_formal,PICASSO,0.2500,10,0.78140076,0.39171028,0.46873498,0.00519593,0.50144390,5,1024,42
stage2a_small_formal,LS,0.2500,20,0.75189354,0.37693102,0.43748352,0.00000000,0.49788722,0,1024,42
stage2a_small_formal,DnCNN,0.2500,20,0.75198688,0.37697818,0.43753900,0.00003404,0.49871254,5,1024,42
stage2a_small_formal,PICASSO,0.2500,20,0.75990725,0.38093498,0.44003512,0.00047745,0.53103910,5,1024,42
stage2a_small_formal,LS,0.2500,30,0.74964351,0.37580314,0.42784082,0.00000000,0.50147209,0,1024,42
stage2a_small_formal,DnCNN,0.2500,30,0.74968228,0.37582270,0.42794498,0.00002160,0.50227550,5,1024,42
stage2a_small_formal,PICASSO,0.2500,30,0.75771204,0.37983777,0.43074352,0.00019856,0.53308226,5,1024,42
stage2a_small_formal,LS,0.1250,10,0.88764837,0.44497694,0.51646646,0.00000000,0.32874867,0,1024,42
stage2a_small_formal,DnCNN,0.1250,10,0.88718319,0.44474345,0.51600949,0.00062989,0.33243417,5,1024,42
stage2a_small_formal,PICASSO,0.1250,10,0.89132915,0.44681922,0.51684039,0.00440818,0.38055620,5,1024,42
stage2a_small_formal,LS,0.1250,20,0.87649657,0.43938627,0.50129487,0.00000000,0.34340744,0,1024,42
stage2a_small_formal,DnCNN,0.1250,20,0.87660472,0.43944057,0.50135941,0.00005965,0.34548857,5,1024,42
stage2a_small_formal,PICASSO,0.1250,20,0.88008198,0.44117794,0.50255882,0.00070648,0.38770271,5,1024,42
stage2a_small_formal,LS,0.1250,30,0.87538141,0.43882721,0.49649721,0.00000000,0.34536985,0,1024,42
stage2a_small_formal,DnCNN,0.1250,30,0.87542015,0.43884659,0.49659583,0.00004287,0.34725853,5,1024,42
stage2a_small_formal,PICASSO,0.1250,30,0.87947374,0.44087725,0.49812893,0.00026231,0.38875218,5,1024,42
stage2a_small_formal,LS,0.0625,10,0.94376384,0.47310672,0.54063383,0.00000000,0.20824795,0,1024,42
stage2a_small_formal,DnCNN,0.0625,10,0.94360150,0.47302535,0.54045652,0.00044637,0.21394061,5,1024,42
stage2a_small_formal,PICASSO,0.0625,10,0.94491363,0.47368208,0.54072370,0.00555518,0.26348791,5,1024,42
stage2a_small_formal,LS,0.0625,20,0.93822981,0.47033184,0.53307562,0.00000000,0.21130638,0,1024,42
stage2a_small_formal,DnCNN,0.0625,20,0.93828839,0.47036123,0.53311571,0.00008764,0.21460573,5,1024,42
stage2a_small_formal,PICASSO,0.0625,20,0.93980967,0.47112251,0.53365295,0.00076469,0.27349061,5,1024,42
stage2a_small_formal,LS,0.0625,30,0.93767644,0.47005437,0.53068550,0.00000000,0.21163521,0,1024,42
stage2a_small_formal,DnCNN,0.0625,30,0.93788810,0.47016042,0.53096846,0.00022463,0.21798832,5,1024,42
stage2a_small_formal,PICASSO,0.0625,30,0.93901340,0.47072317,0.53133269,0.00032710,0.25767775,5,1024,42
