pilot_ratio,method,nmse_mean,count
0.0625,Cond-DnCNN,0.94128626,4
0.0625,DnCNN,0.94099425,4
0.0625,Enhanced-DnCNN,0.94101921,4
0.0625,LS,0.94099158,4
0.0625,PICASSO-cond-full,0.93896351,4
0.0625,PICASSO-full,0.94013567,4
0.0625,PICASSO-rec,0.93996077,4
0.0625,PICASSO-rec-adv,0.94160541,4
0.0625,PICASSO-rec-physics,0.93966655,4
0.1250,Cond-DnCNN,0.88148818,4
0.1250,DnCNN,0.88119382,4
0.1250,Enhanced-DnCNN,0.88152575,4
0.1250,LS,0.88159093,4
0.1250,PICASSO-cond-full,0.87586023,4
0.1250,PICASSO-full,0.87447010,4
0.1250,PICASSO-rec,0.87666800,4
0.1250,PICASSO-rec-adv,0.87716733,4
0.1250,PICASSO-rec-physics,0.88093474,4
0.2500,Cond-DnCNN,0.76233915,4
0.2500,DnCNN,0.76305511,4
0.2500,Enhanced-DnCNN,0.76316575,4
0.2500,LS,0.76385542,4
0.2500,PICASSO-cond-full,0.74970448,4
0.2500,PICASSO-full,0.74855131,4
0.2500,PICASSO-rec,0.75600771,4
0.2500,PICASSO-rec-adv,0.75395750,4
0.2500,PICASSO-rec-physics,0.75947108,4
