stage,method,loss_mode,use_condition,pilot_ratio,snr_db,seed,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs,num_train_samples,runtime_seconds
stage2bc_comprehensive,LS,,False,0.2500,10,42,0.77538922,0.38769461,0.46867032,0.00000000,0.46740509,0,512,0.2889
stage2bc_comprehensive,DnCNN,,False,0.2500,10,42,0.77438550,0.38719275,0.46839993,0.00007418,0.46861797,3,512,1.2490
stage2bc_comprehensive,Cond-DnCNN,,True,0.2500,10,42,0.77375342,0.38687671,0.46814331,0.00015663,0.46910737,3,512,0.1043
stage2bc_comprehensive,Enhanced-DnCNN,,False,0.2500,10,42,0.77492014,0.38746007,0.46852266,0.00002515,0.46787349,3,512,0.2795
stage2bc_comprehensive,PICASSO-rec,rec_only,False,0.2500,10,42,0.76216108,0.38108054,0.46418333,0.00532820,0.48575739,3,512,0.3157
stage2bc_comprehensive,PICASSO-rec-physics,rec_physics,False,0.2500,10,42,0.77764946,0.38882473,0.46915736,0.00270849,0.47212423,3,512,0.2175
stage2bc_comprehensive,PICASSO-rec-adv,rec_adv,False,0.2500,10,42,0.76372735,0.38186368,0.46470723,0.00449285,0.48570006,3,512,0.3585
stage2bc_comprehensive,PICASSO-full,full,False,0.2500,10,42,0.75612095,0.37806047,0.46192820,0.00618369,0.50010201,3,512,0.4809
stage2bc_comprehensive,PICASSO-cond-full,full,True,0.2500,10,42,0.75455281,0.37727641,0.46147457,0.00716604,0.50090095,3,512,0.4929
stage2bc_comprehensive,LS,,False,0.2500,20,42,0.75277285,0.37638643,0.43805838,0.00000000,0.49725594,0,512,0.0103
stage2bc_comprehensive,DnCNN,,False,0.2500,20,42,0.75110887,0.37555443,0.43763695,0.00005863,0.49915565,3,512,0.0788
stage2bc_comprehensive,Cond-DnCNN,,True,0.2500,20,42,0.75215340,0.37607670,0.43813451,0.00020530,0.49818866,3,512,0.0925
stage2bc_comprehensive,Enhanced-DnCNN,,False,0.2500,20,42,0.75221018,0.37610509,0.43790925,0.00000449,0.49786071,3,512,0.2314
stage2bc_comprehensive,PICASSO-rec,rec_only,False,0.2500,20,42,0.76030709,0.38015354,0.44384971,0.00339818,0.50065355,3,512,0.2155
stage2bc_comprehensive,PICASSO-rec-physics,rec_physics,False,0.2500,20,42,0.74194315,0.37097158,0.43595418,0.00126486,0.52048655,3,512,0.2176
stage2bc_comprehensive,PICASSO-rec-adv,rec_adv,False,0.2500,20,42,0.75006498,0.37503249,0.43884890,0.00154609,0.50438993,3,512,0.3311
stage2bc_comprehensive,PICASSO-full,full,False,0.2500,20,42,0.73790419,0.36895210,0.43491181,0.00139706,0.52435502,3,512,0.4841
stage2bc_comprehensive,PICASSO-cond-full,full,True,0.2500,20,42,0.74247502,0.37123751,0.43599000,0.00101016,0.51081142,3,512,0.4904
