method,pilot_ratio,snr_db,nmse_mean,nmse_std,mse_mean,mse_std,mae_mean,mae_std,pilot_error_mean,pilot_error_std,count
DnCNN,0.0625,10,0.93642395,0.00027856,0.46821198,0.00013928,0.53862274,0.00008548,0.00631329,0.00002519,2
DnCNN,0.0625,20,0.93044456,0.00043986,0.46522228,0.00021992,0.53137353,0.00016171,0.00099109,0.00043492,2
DnCNN,0.1250,10,0.86935754,0.00082879,0.43467877,0.00041439,0.51086259,0.00010680,0.00571408,0.00064464,2
DnCNN,0.1250,20,0.85741404,0.00042193,0.42870702,0.00021097,0.49647546,0.00086878,0.00108950,0.00074519,2
Enhanced-DnCNN,0.0625,10,0.93621620,0.00162424,0.46810810,0.00081212,0.53857016,0.00038478,0.00778539,0.00116132,2
Enhanced-DnCNN,0.0625,20,0.92935948,0.00058051,0.46467974,0.00029025,0.53089911,0.00002705,0.00061297,0.00006728,2
Enhanced-DnCNN,0.1250,10,0.86819881,0.00130110,0.43409940,0.00065055,0.51043891,0.00032083,0.00513687,0.00050516,2
Enhanced-DnCNN,0.1250,20,0.85668367,0.00209691,0.42834184,0.00104846,0.49613446,0.00090785,0.00090900,0.00046803,2
LS,0.0625,10,0.94365333,0.00005111,0.47182666,0.00002555,0.54105968,0.00018866,0.00000000,0.00000000,2
LS,0.0625,20,0.93799637,0.00004809,0.46899818,0.00002404,0.53340213,0.00018866,0.00000000,0.00000000,2
LS,0.1250,10,0.88723640,0.00003093,0.44361820,0.00001546,0.51687087,0.00013142,0.00000000,0.00000000,2
LS,0.1250,20,0.87589728,0.00003183,0.43794864,0.00001591,0.50154838,0.00013190,0.00000000,0.00000000,2
PICASSO-cond-full,0.0625,10,0.93453795,0.00068859,0.46726897,0.00034430,0.53777410,0.00002639,0.00474041,0.00009509,2
PICASSO-cond-full,0.0625,20,0.92892814,0.00056940,0.46446407,0.00028470,0.53047172,0.00001112,0.00048414,0.00003724,2
PICASSO-cond-full,0.1250,10,0.86696067,0.00177039,0.43348033,0.00088520,0.50964603,0.00046290,0.00465362,0.00021558,2
PICASSO-cond-full,0.1250,20,0.85520158,0.00209178,0.42760079,0.00104590,0.49481955,0.00059735,0.00041523,0.00004167,2
PICASSO-full,0.0625,10,0.93473251,0.00082187,0.46736626,0.00041094,0.53782514,0.00006156,0.00457729,0.00013521,2
PICASSO-full,0.0625,20,0.92882258,0.00068359,0.46441129,0.00034179,0.53042429,0.00002181,0.00052702,0.00003002,2
PICASSO-full,0.1250,10,0.86740065,0.00218362,0.43370032,0.00109181,0.50978499,0.00054205,0.00466094,0.00005549,2
PICASSO-full,0.1250,20,0.85496274,0.00180654,0.42748137,0.00090327,0.49477383,0.00047175,0.00048487,0.00004502,2
PICASSO-rec,0.0625,10,0.93408501,0.00051023,0.46704250,0.00025512,0.53764650,0.00001652,0.00506596,0.00011404,2
PICASSO-rec,0.0625,20,0.92826151,0.00052059,0.46413075,0.00026030,0.53026099,0.00001035,0.00035454,0.00000875,2
PICASSO-rec,0.1250,10,0.86605566,0.00130658,0.43302783,0.00065328,0.50941097,0.00028200,0.00481804,0.00000610,2
PICASSO-rec,0.1250,20,0.85398726,0.00123610,0.42699363,0.00061805,0.49445807,0.00026348,0.00030681,0.00003357,2
PICASSO-rec-physics,0.0625,10,0.93464785,0.00058705,0.46732392,0.00029353,0.53781863,0.00001604,0.00503767,0.00011515,2
PICASSO-rec-physics,0.0625,20,0.92869506,0.00071221,0.46434753,0.00035610,0.53041821,0.00001912,0.00058984,0.00006074,2
PICASSO-rec-physics,0.1250,10,0.86704832,0.00145675,0.43352416,0.00072838,0.50964616,0.00040053,0.00470122,0.00015178,2
PICASSO-rec-physics,0.1250,20,0.85504486,0.00193320,0.42752243,0.00096660,0.49485579,0.00046566,0.00052895,0.00002638,2
