stage,seed,method,pilot_ratio,snr_db,epoch,train_loss,val_nmse,learning_rate
stage3a_larger_training,42,DnCNN,0.1250,10,1,0.44448634,0.88702725,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,10,2,0.44370377,0.88641773,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,10,3,0.44339849,0.88556854,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,10,4,0.44290654,0.88425754,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,10,5,0.44211590,0.88213849,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,10,6,0.44088920,0.87919983,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,10,7,0.43934079,0.87584037,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,10,8,0.43777100,0.87271897,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,10,9,0.43659553,0.87074409,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,10,10,0.43599730,0.86975715,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,1,0.44401259,0.88696870,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,2,0.44378563,0.88664590,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,3,0.44345957,0.88526735,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,4,0.44201806,0.88075708,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,5,0.43959687,0.87699552,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,6,0.43834521,0.87501867,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,7,0.43748212,0.87261753,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,8,0.43652591,0.87070081,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,9,0.43594421,0.86949247,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,10,0.43554519,0.86882654,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,10,1,0.51822097,0.88175015,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,10,2,0.51393925,0.87239392,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,10,3,0.51160587,0.86879073,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,10,4,0.51078459,0.86812635,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,10,5,0.51052802,0.86759670,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,10,6,0.51038593,0.86734281,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,10,7,0.51025721,0.86715829,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,10,8,0.51016717,0.86708833,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,10,9,0.51006905,0.86664282,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,10,10,0.50997991,0.86669575,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,1,0.52425968,0.87764297,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,2,0.52045247,0.87109654,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,3,0.51886726,0.86912221,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,4,0.51839305,0.86862308,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,5,0.51811806,0.86824483,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,6,0.51793148,0.86799222,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,7,0.51779730,0.86776137,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,8,0.51768416,0.86756696,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,9,0.51759524,0.86761785,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,10,0.51755468,0.86730063,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,10,1,0.52922738,0.88556348,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,10,2,0.52343305,0.88011751,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,10,3,0.52202252,0.87514602,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,10,4,0.52044614,0.87139253,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,10,5,0.51971695,0.86962238,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,10,6,0.51998679,0.86872596,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,10,7,0.52203297,0.86861376,0.00010000
