pilot_ratio,snr_db,LS,DnCNN,Enhanced-DnCNN,PICASSO-rec,PICASSO-rec-physics,PICASSO-full-light-adv,best_method
0.0625,10,0.943576+/-0.000138,0.941562+/-0.000962,0.940753+/-0.000494,0.934595+/-0.000850,0.934835+/-0.000926,0.935247+/-0.000939,PICASSO-rec
0.0625,20,0.937930+/-0.000119,0.935923+/-0.001147,0.935568+/-0.000520,0.928664+/-0.000597,0.929014+/-0.000671,0.929114+/-0.000354,PICASSO-rec
0.0625,30,0.937366+/-0.000117,0.935671+/-0.001375,0.934800+/-0.001998,0.928028+/-0.001040,0.928915+/-0.001288,0.929156+/-0.001863,PICASSO-rec
0.1250,10,0.887272+/-0.000065,0.881750+/-0.001141,0.876308+/-0.000559,0.866975+/-0.001068,0.867853+/-0.001353,0.868041+/-0.001744,PICASSO-rec
0.1250,20,0.875970+/-0.000128,0.870157+/-0.000991,0.865237+/-0.004342,0.855133+/-0.001392,0.856956+/-0.000536,0.856772+/-0.001519,PICASSO-rec
0.1250,30,0.874840+/-0.000134,0.869126+/-0.002516,0.863817+/-0.000748,0.853866+/-0.000917,0.854785+/-0.001548,0.856400+/-0.002589,PICASSO-rec
0.2500,10,0.774855+/-0.000503,0.757018+/-0.006230,0.747859+/-0.003799,0.732711+/-0.002107,0.734599+/-0.003022,0.734714+/-0.002778,PICASSO-rec
0.2500,20,0.752306+/-0.000470,0.737781+/-0.001430,0.725425+/-0.003138,0.709413+/-0.002159,0.712486+/-0.003707,0.711439+/-0.003647,PICASSO-rec
0.2500,30,0.750051+/-0.000467,0.730912+/-0.003326,0.721115+/-0.005892,0.706616+/-0.003246,0.710061+/-0.002217,0.709843+/-0.003918,PICASSO-rec
0.5000,10,0.550209+/-0.000311,0.503758+/-0.004757,0.497008+/-0.005002,0.482979+/-0.004886,0.485298+/-0.005306,0.486702+/-0.005547,PICASSO-rec
0.5000,20,0.505249+/-0.000275,0.471337+/-0.002786,0.449018+/-0.005701,0.438029+/-0.005053,0.441945+/-0.004310,0.442653+/-0.006607,PICASSO-rec
0.5000,30,0.500753+/-0.000271,0.463948+/-0.002362,0.446583+/-0.008682,0.429684+/-0.004278,0.434936+/-0.004123,0.437498+/-0.002896,PICASSO-rec
