stage,seed,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs_used,train_samples,val_samples,test_samples,runtime_seconds,loss_mode,lambda_adv,lambda_pilot,lambda_smooth,lambda_sparse
stage3a_supervised_physics,42,LS,0.5000,10,0.55038475,0.27519238,0.37191007,0.00000000,0.63530748,0,1024,256,512,0.2835,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.5000,10,0.50787906,0.25393953,0.35762121,0.00381427,0.64728946,5,1024,256,512,1.6214,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.5000,10,0.50071134,0.25035567,0.35659274,0.01730080,0.66575915,5,1024,256,512,0.9101,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.5000,10,0.48652755,0.24326377,0.34305146,0.00588934,0.71839976,5,1024,256,512,1.2468,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.5000,10,0.49076479,0.24538239,0.34577292,0.00565043,0.70786993,5,1024,256,512,1.1455,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.5000,10,0.49233422,0.24616711,0.34582528,0.00567867,0.71083682,5,1024,256,512,1.7739,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.5000,20,0.50540058,0.25270029,0.31090023,0.00000000,0.68616155,0,1024,256,512,0.0243,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.5000,20,0.46917645,0.23458822,0.30263711,0.00152255,0.69503032,5,1024,256,512,0.3025,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.5000,20,0.45377098,0.22688549,0.30068733,0.00351729,0.71466070,5,1024,256,512,0.8598,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.5000,20,0.44192106,0.22096053,0.28590978,0.00153043,0.76776581,5,1024,256,512,1.1439,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.5000,20,0.44600242,0.22300121,0.29108388,0.00154512,0.74110184,5,1024,256,512,1.1425,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.5000,20,0.44985353,0.22492676,0.29502715,0.00181669,0.72202683,5,1024,256,512,1.7370,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.5000,30,0.50090216,0.25045108,0.29160723,0.00000000,0.69207416,0,1024,256,512,0.0252,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.5000,30,0.46628338,0.23314169,0.28847136,0.00130117,0.70026456,5,1024,256,512,0.3215,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.5000,30,0.44274774,0.22137387,0.28068132,0.00190096,0.73211459,5,1024,256,512,0.8807,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.5000,30,0.43347567,0.21673784,0.26994118,0.00091601,0.76154849,5,1024,256,512,1.1420,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.5000,30,0.43896989,0.21948494,0.27233706,0.00088193,0.75559284,5,1024,256,512,1.1450,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.5000,30,0.43917651,0.21958826,0.27196740,0.00090199,0.75824782,5,1024,256,512,1.7362,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.2500,10,0.77519323,0.38759661,0.46850669,0.00000000,0.47161129,0,1024,256,512,0.0306,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.2500,10,0.76319995,0.38159997,0.46473889,0.00047157,0.48353440,5,1024,256,512,0.2952,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.2500,10,0.75071236,0.37535618,0.46032861,0.00841390,0.52095475,5,1024,256,512,0.8589,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.2500,10,0.73506152,0.36753076,0.45407673,0.00507852,0.59761038,5,1024,256,512,1.1429,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.2500,10,0.73801492,0.36900746,0.45500562,0.00456409,0.59632802,5,1024,256,512,1.1492,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.2500,10,0.73785910,0.36892955,0.45482932,0.00450468,0.59909923,5,1024,256,512,1.7281,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.2500,20,0.75263249,0.37631625,0.43794636,0.00000000,0.50234169,0,1024,256,512,0.0283,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.2500,20,0.73891074,0.36945537,0.43457938,0.00042007,0.51780200,5,1024,256,512,0.2810,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.2500,20,0.72877083,0.36438541,0.43544836,0.00429296,0.54547537,5,1024,256,512,0.8583,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.2500,20,0.71135937,0.35567969,0.42429420,0.00043443,0.63933594,5,1024,256,512,1.1401,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.2500,20,0.71518251,0.35759125,0.42582117,0.00073702,0.63065687,5,1024,256,512,1.1358,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.2500,20,0.71564877,0.35782439,0.42631377,0.00075018,0.61956865,5,1024,256,512,1.7370,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.2500,30,0.75037640,0.37518820,0.42828232,0.00000000,0.50583931,0,1024,256,512,0.0392,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.2500,30,0.73373298,0.36686649,0.42611958,0.00086050,0.52588898,5,1024,256,512,0.3124,,0.0,0.0,0.0,0.0
