stage,seed,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs_used,loss_mode,use_attention,use_condition,feature_discriminator,runtime_seconds
stage3b_incremental,42,LS,0.5000,10,0.55024707,0.27512354,0.37205760,0.00000000,0.62891626,0,,False,False,False,0.2495
stage3b_incremental,42,DnCNN,0.5000,10,0.54831983,0.27415992,0.37153473,0.00010183,0.62877397,3,,False,False,False,1.2233
stage3b_incremental,42,Enhanced-DnCNN,0.5000,10,0.54898450,0.27449225,0.37163638,0.00001872,0.62886219,3,,False,False,False,0.2811
stage3b_incremental,42,PICASSO-rec-base,0.5000,10,0.52430944,0.26215472,0.36364230,0.00647257,0.63094725,3,rec_only,False,False,False,0.5420
stage3b_incremental,42,PICASSO-rec-enhanced,0.5000,10,0.51335144,0.25667572,0.35963041,0.00968949,0.64173782,3,rec_only,False,False,False,0.6373
stage3b_incremental,42,PICASSO-rec-attn,0.5000,10,0.51710509,0.25855254,0.36009407,0.00714759,0.63675381,3,rec_only,True,False,False,0.6457
stage3b_incremental,42,PICASSO-rec-physics-enhanced,0.5000,10,0.51071258,0.25535629,0.35723918,0.00509566,0.64605203,3,rec_physics,True,False,False,0.6305
stage3b_incremental,42,PICASSO-full-feature,0.5000,10,0.52389917,0.26194958,0.36196005,0.00469034,0.63325688,3,full,True,False,True,0.9184
stage3b_incremental,42,PICASSO-cond-full-feature,0.5000,10,0.51682836,0.25841418,0.35945204,0.00512196,0.63845824,3,full,True,True,True,0.8893
stage3b_incremental,42,LS,0.5000,20,0.50509602,0.25254801,0.31090942,0.00000000,0.67809108,0,,False,False,False,0.0092
stage3b_incremental,42,DnCNN,0.5000,20,0.50408991,0.25204495,0.31111123,0.00019596,0.67770268,3,,False,False,False,0.0792
stage3b_incremental,42,Enhanced-DnCNN,0.5000,20,0.50481582,0.25240791,0.31093007,0.00003709,0.67800023,3,,False,False,False,0.2331
stage3b_incremental,42,PICASSO-rec-base,0.5000,20,0.47985149,0.23992575,0.30790041,0.00216317,0.68186004,3,rec_only,False,False,False,0.4632
stage3b_incremental,42,PICASSO-rec-enhanced,0.5000,20,0.47444620,0.23722310,0.30698509,0.00277176,0.68509035,3,rec_only,False,False,False,0.6647
stage3b_incremental,42,PICASSO-rec-attn,0.5000,20,0.48100466,0.24050233,0.30540011,0.00078789,0.68206157,3,rec_only,True,False,False,0.6617
