profile,pilot_ratio,snr_db,velocity_kmh,Enhanced-DnCNN,LMMSE-like,LS,PICASSO-rec,PICASSO-rec-physics,best_method
CDL-A,0.0625,0,0,0.998887,2.856319,0.999080,0.974119,0.986284,PICASSO-rec
CDL-A,0.0625,0,120,0.998979,2.845902,0.999085,0.981109,0.980560,PICASSO-rec-physics
CDL-A,0.0625,0,60,0.998808,2.842651,0.999082,0.979420,0.983943,PICASSO-rec
CDL-A,0.0625,10,0,0.943344,1.949721,0.943245,0.943070,0.943798,PICASSO-rec
CDL-A,0.0625,10,120,0.943335,1.946269,0.943297,0.943022,0.942396,PICASSO-rec-physics
CDL-A,0.0625,10,60,0.943281,1.945306,0.943253,0.943045,0.943346,PICASSO-rec
CDL-A,0.0625,30,0,0.937115,1.850351,0.937101,0.937280,0.938386,LS
CDL-A,0.0625,30,120,0.937228,1.849561,0.937159,0.937123,0.938155,PICASSO-rec
CDL-A,0.0625,30,60,0.937079,1.849765,0.937110,0.937406,0.938088,Enhanced-DnCNN
CDL-A,0.1250,0,0,0.998159,2.696970,0.998763,0.930365,0.947821,PICASSO-rec
CDL-A,0.1250,0,120,0.997246,2.711320,0.998778,0.933082,0.954090,PICASSO-rec
CDL-A,0.1250,0,60,0.998045,2.708928,0.998771,0.946797,0.953422,PICASSO-rec
CDL-A,0.1250,10,0,0.887305,1.867556,0.887360,0.859615,0.869271,PICASSO-rec
CDL-A,0.1250,10,120,0.887735,1.869457,0.887933,0.870842,0.865587,PICASSO-rec-physics
CDL-A,0.1250,10,60,0.887431,1.870051,0.887604,0.868984,0.871853,PICASSO-rec
CDL-A,0.1250,30,0,0.874967,1.778386,0.875106,0.863529,0.859265,PICASSO-rec-physics
CDL-A,0.1250,30,120,0.875476,1.773820,0.875741,0.857369,0.864604,PICASSO-rec
CDL-A,0.1250,30,60,0.875253,1.776399,0.875376,0.865895,0.871500,PICASSO-rec
CDL-A,0.2500,0,0,0.997834,2.471991,0.999180,0.896679,0.942766,PICASSO-rec
CDL-A,0.2500,0,120,0.997176,2.485350,0.999120,0.882585,0.934203,PICASSO-rec
CDL-A,0.2500,0,60,0.996548,2.481880,0.999149,0.923434,0.940378,PICASSO-rec
CDL-A,0.2500,10,0,0.775027,1.585437,0.774982,0.776723,0.775805,LS
CDL-A,0.2500,10,120,0.775187,1.591739,0.775260,0.774286,0.775574,PICASSO-rec
CDL-A,0.2500,10,60,0.775131,1.589740,0.775097,0.774292,0.775596,PICASSO-rec
CDL-A,0.2500,30,0,0.750331,1.489753,0.750320,0.751906,0.752130,LS
CDL-A,0.2500,30,120,0.750655,1.492602,0.750635,0.752339,0.753102,LS
CDL-A,0.2500,30,60,0.750530,1.491496,0.750450,0.752397,0.753288,LS
CDL-A,0.5000,0,0,0.994281,1.985074,0.999586,0.774975,0.841643,PICASSO-rec
CDL-A,0.5000,0,120,0.997391,1.987026,0.999620,0.744210,0.822282,PICASSO-rec
CDL-A,0.5000,0,60,0.995233,1.984890,0.999605,0.756439,0.832958,PICASSO-rec
CDL-A,0.5000,10,0,0.549791,1.209809,0.550610,0.529525,0.528754,PICASSO-rec-physics
CDL-A,0.5000,10,120,0.550100,1.210213,0.550178,0.511069,0.534691,PICASSO-rec
CDL-A,0.5000,10,60,0.549995,1.209638,0.550397,0.516223,0.536188,PICASSO-rec
CDL-A,0.5000,30,0,0.500905,1.125083,0.501226,0.491497,0.492415,PICASSO-rec
CDL-A,0.5000,30,120,0.500236,1.125092,0.500743,0.486533,0.492181,PICASSO-rec
CDL-A,0.5000,30,60,0.499823,1.125042,0.500988,0.486875,0.497466,PICASSO-rec
CDL-B,0.0625,0,0,0.998995,2.500566,0.999184,0.974852,0.987356,PICASSO-rec
CDL-B,0.0625,0,120,0.999051,2.509089,0.999173,0.980291,0.980368,PICASSO-rec
CDL-B,0.0625,0,60,0.998933,2.509872,0.999180,0.982171,0.985630,PICASSO-rec
CDL-B,0.0625,10,0,0.943361,1.590210,0.943377,0.943035,0.943195,PICASSO-rec
CDL-B,0.0625,10,120,0.943468,1.594538,0.943405,0.942753,0.942356,PICASSO-rec-physics
CDL-B,0.0625,10,60,0.943432,1.593865,0.943421,0.942828,0.943554,PICASSO-rec
CDL-B,0.0625,30,0,0.937173,1.488945,0.937236,0.937339,0.938726,Enhanced-DnCNN
CDL-B,0.0625,30,120,0.937266,1.491142,0.937269,0.936937,0.938628,PICASSO-rec
CDL-B,0.0625,30,60,0.937245,1.489915,0.937285,0.937121,0.937499,PICASSO-rec
CDL-B,0.1250,0,0,0.997841,2.409491,0.998643,0.929827,0.945460,PICASSO-rec
CDL-B,0.1250,0,120,0.996846,2.392861,0.998608,0.929298,0.944659,PICASSO-rec
CDL-B,0.1250,0,60,0.998055,2.398968,0.998622,0.938600,0.955762,PICASSO-rec
CDL-B,0.1250,10,0,0.885773,1.556902,0.885995,0.855873,0.863787,PICASSO-rec
CDL-B,0.1250,10,120,0.885592,1.551993,0.885668,0.867388,0.858783,PICASSO-rec-physics
CDL-B,0.1250,10,60,0.885680,1.553781,0.885816,0.858914,0.866327,PICASSO-rec
CDL-B,0.1250,30,0,0.873616,1.460986,0.873604,0.860480,0.854888,PICASSO-rec-physics
