stage,method,profile,pilot_pattern,seed,pilot_ratio,snr_db,velocity_kmh,nmse,mse,mae,pilot_consistency_error,delay_domain_sparsity_score,doppler_robustness_metric,runtime_seconds
stage4_cdl,LS,CDL-A,irregular,42,0.5000,0,0,0.99958551,0.49979275,0.57175419,0.00000000,0.37100135,0.99958551,0.3243
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.5000,0,0,1.98507449,0.99253725,0.77036479,0.00000000,0.44198721,1.98507449,1.8364
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.5000,0,0,0.99428129,0.49714065,0.57023536,0.00008327,0.37142842,0.99428129,1.4556
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.5000,0,0,0.77497491,0.38748746,0.49902940,0.13653786,0.40488806,0.77497491,0.6036
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.5000,0,0,0.84164295,0.42082147,0.52271526,0.04693292,0.37906323,0.84164295,0.4628
stage4_cdl,LS,CDL-A,irregular,42,0.5000,0,60,0.99960524,0.49980262,0.57177739,0.00000000,0.37086405,0.99960524,0.0162
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.5000,0,60,1.98488992,0.99244496,0.77045132,0.00000000,0.44176666,1.98488992,1.6182
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.5000,0,60,0.99523346,0.49761673,0.57051736,0.00006944,0.37121183,0.99523346,0.2413
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.5000,0,60,0.75643891,0.37821946,0.49262051,0.17855955,0.42067254,0.75643891,0.4522
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.5000,0,60,0.83295771,0.41647886,0.51985078,0.04858509,0.38411185,0.83295771,0.4510
stage4_cdl,LS,CDL-A,irregular,42,0.5000,0,120,0.99962007,0.49981003,0.57181703,0.00000000,0.37125327,0.36417162,0.0134
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.5000,0,120,1.98702613,0.99351306,0.77081239,0.00000000,0.44240416,0.72388327,1.6502
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.5000,0,120,0.99739081,0.49869540,0.57116345,0.00008702,0.37140041,0.36335927,0.2421
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.5000,0,120,0.74420990,0.37210495,0.48841298,0.22052563,0.43923371,0.27109589,0.4588
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.5000,0,120,0.82228184,0.41114092,0.51653279,0.05308034,0.38811119,0.29955155,0.4511
stage4_cdl,LS,CDL-A,irregular,42,0.5000,10,0,0.55060969,0.27530485,0.37913177,0.00000000,0.47308312,0.55060969,0.0146
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.5000,10,0,1.20980924,0.60490462,0.52374753,0.00000000,0.44541848,1.20980924,1.6003
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.5000,10,0,0.54979128,0.27489564,0.37883490,0.00002979,0.47367059,0.54979128,0.2581
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.5000,10,0,0.52952524,0.26476262,0.37246622,0.00842261,0.49715700,0.52952524,0.4631
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.5000,10,0,0.52875352,0.26437676,0.37149705,0.00762071,0.49380165,0.52875352,0.4509
