method,profile,velocity_kmh,nmse_mean,nmse_std,doppler_mean,count
Enhanced-DnCNN,CDL-A,0,0.85066226,0.17389910,0.85066226,12
Enhanced-DnCNN,CDL-A,120,0.85089530,0.17409131,0.30998376,12
Enhanced-DnCNN,CDL-A,60,0.85059654,0.17401013,0.85059654,12
Enhanced-DnCNN,CDL-B,0,0.85034908,0.17386086,0.85034908,12
Enhanced-DnCNN,CDL-B,120,0.85034818,0.17397641,0.30502825,12
Enhanced-DnCNN,CDL-B,60,0.85021575,0.17397741,0.85021575,12
Enhanced-DnCNN,CDL-C,0,0.85085927,0.17425983,0.85085927,12
Enhanced-DnCNN,CDL-C,120,0.85095564,0.17429252,0.30347655,12
Enhanced-DnCNN,CDL-C,60,0.85076155,0.17422520,0.85076155,12
LMMSE-like,CDL-A,0,1.90553744,0.54344374,1.90553744,12
LMMSE-like,CDL-A,120,1.90736253,0.54450593,0.69482586,12
LMMSE-like,CDL-A,60,1.90631552,0.54349994,1.90631552,12
LMMSE-like,CDL-B,0,1.57926219,0.54817754,1.57926219,12
LMMSE-like,CDL-B,120,1.58220746,0.54961382,0.56751183,12
LMMSE-like,CDL-B,60,1.58178518,0.54989656,1.58178518,12
LMMSE-like,CDL-C,0,1.73081070,0.58149221,1.73081070,12
LMMSE-like,CDL-C,120,1.73330116,0.58056353,0.61803026,12
LMMSE-like,CDL-C,60,1.73046497,0.58025923,1.73046497,12
LS,CDL-A,0,0.85137981,0.17428082,0.85137981,12
LS,CDL-A,120,0.85146241,0.17443263,0.31019045,12
LS,CDL-A,60,0.85140699,0.17435486,0.85140699,12
LS,CDL-B,0,0.85102038,0.17429636,0.85102038,12
LS,CDL-B,120,0.85092933,0.17431599,0.30523665,12
LS,CDL-B,60,0.85097979,0.17430561,0.85097979,12
LS,CDL-C,0,0.85140180,0.17471170,0.85140180,12
LS,CDL-C,120,0.85141415,0.17464677,0.30364003,12
LS,CDL-C,60,0.85141941,0.17467722,0.85141941,12
PICASSO-rec,CDL-A,0,0.81077359,0.15782133,0.81077359,12
PICASSO-rec,CDL-A,120,0.80613079,0.16299367,0.29367023,12
PICASSO-rec,CDL-A,60,0.81260058,0.16484599,0.81260058,12
PICASSO-rec,CDL-B,0,0.80991937,0.15763593,0.80991937,12
PICASSO-rec,CDL-B,120,0.80387107,0.16355445,0.28836244,12
PICASSO-rec,CDL-B,60,0.81060129,0.16448327,0.81060129,12
PICASSO-rec,CDL-C,0,0.81666393,0.15654722,0.81666393,12
PICASSO-rec,CDL-C,120,0.81305919,0.15872638,0.28996208,12
PICASSO-rec,CDL-C,60,0.81816315,0.16076870,0.81816315,12
PICASSO-rec-physics,CDL-A,0,0.82319492,0.16276394,0.82319492,12
PICASSO-rec-physics,CDL-A,120,0.82145200,0.16099315,0.29925515,12
PICASSO-rec-physics,CDL-A,60,0.82483566,0.16083759,0.82483566,12
PICASSO-rec-physics,CDL-B,0,0.81996491,0.16276663,0.81996491,12
PICASSO-rec-physics,CDL-B,120,0.81830075,0.16133412,0.29353698,12
PICASSO-rec-physics,CDL-B,60,0.82156006,0.16373694,0.82156006,12
PICASSO-rec-physics,CDL-C,0,0.82609991,0.16144479,0.82609991,12
PICASSO-rec-physics,CDL-C,120,0.82476785,0.15973872,0.29413765,12
PICASSO-rec-physics,CDL-C,60,0.82697749,0.16178383,0.82697749,12
