ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
architecture,pilot=0.5000; snr=10,PICASSO-rec-base,0.5000,10,0,synthetic,comb,0.52430944,0.26215472,0.36364230,,0.5420,stage3b,reused
architecture,pilot=0.5000; snr=10,PICASSO-rec-enhanced,0.5000,10,0,synthetic,comb,0.51335144,0.25667572,0.35963041,,0.6373,stage3b,reused
architecture,pilot=0.5000; snr=10,PICASSO-rec-attn,0.5000,10,0,synthetic,comb,0.51710509,0.25855254,0.36009407,,0.6457,stage3b,reused
architecture,pilot=0.5000; snr=20,PICASSO-rec-base,0.5000,20,0,synthetic,comb,0.47985149,0.23992575,0.30790041,,0.4632,stage3b,reused
architecture,pilot=0.5000; snr=20,PICASSO-rec-enhanced,0.5000,20,0,synthetic,comb,0.47444620,0.23722310,0.30698509,,0.6647,stage3b,reused
architecture,pilot=0.5000; snr=20,PICASSO-rec-attn,0.5000,20,0,synthetic,comb,0.48100466,0.24050233,0.30540011,,0.6617,stage3b,reused
architecture,pilot=0.5000; snr=30,PICASSO-rec-base,0.5000,30,0,synthetic,comb,0.47822630,0.23911315,0.29365765,,0.4439,stage3b,reused
architecture,pilot=0.5000; snr=30,PICASSO-rec-enhanced,0.5000,30,0,synthetic,comb,0.47612737,0.23806369,0.29276589,,0.6260,stage3b,reused
architecture,pilot=0.5000; snr=30,PICASSO-rec-attn,0.5000,30,0,synthetic,comb,0.48384792,0.24192396,0.29043611,,0.6301,stage3b,reused
architecture,pilot=0.2500; snr=10,PICASSO-rec-base,0.2500,10,0,synthetic,comb,0.75323461,0.37661730,0.46106570,,0.4430,stage3b,reused
architecture,pilot=0.2500; snr=10,PICASSO-rec-enhanced,0.2500,10,0,synthetic,comb,0.75424170,0.37712085,0.46144371,,0.6260,stage3b,reused
architecture,pilot=0.2500; snr=10,PICASSO-rec-attn,0.2500,10,0,synthetic,comb,0.74867101,0.37433551,0.45950334,,0.6375,stage3b,reused
architecture,pilot=0.2500; snr=20,PICASSO-rec-base,0.2500,20,0,synthetic,comb,0.74170670,0.37085335,0.43626539,,0.4440,stage3b,reused
architecture,pilot=0.2500; snr=20,PICASSO-rec-enhanced,0.2500,20,0,synthetic,comb,0.72869061,0.36434530,0.43173058,,0.6222,stage3b,reused
architecture,pilot=0.2500; snr=20,PICASSO-rec-attn,0.2500,20,0,synthetic,comb,0.74054734,0.37027367,0.43492313,,0.6314,stage3b,reused
architecture,pilot=0.2500; snr=30,PICASSO-rec-base,0.2500,30,0,synthetic,comb,0.73512588,0.36756294,0.42648946,,0.4430,stage3b,reused
