ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
channel,pilot=0.2500; snr=10,LS,0.2500,10,0,noisy random-path synthetic OFDM,comb,0.77538922,0.38769461,0.46867032,,0.2889,stage2bc,reused
channel,pilot=0.2500; snr=10,DnCNN,0.2500,10,0,noisy random-path synthetic OFDM,comb,0.77438550,0.38719275,0.46839993,,1.2490,stage2bc,reused
channel,pilot=0.2500; snr=10,Enhanced-DnCNN,0.2500,10,0,noisy random-path synthetic OFDM,comb,0.77492014,0.38746007,0.46852266,,0.2795,stage2bc,reused
channel,pilot=0.2500; snr=10,PICASSO-rec,0.2500,10,0,noisy random-path synthetic OFDM,comb,0.76216108,0.38108054,0.46418333,,0.3157,stage2bc,reused
channel,pilot=0.2500; snr=10,PICASSO-rec-physics,0.2500,10,0,noisy random-path synthetic OFDM,comb,0.77764946,0.38882473,0.46915736,,0.2175,stage2bc,reused
channel,pilot=0.2500; snr=20,LS,0.2500,20,0,noisy random-path synthetic OFDM,comb,0.75277285,0.37638643,0.43805838,,0.0103,stage2bc,reused
channel,pilot=0.2500; snr=20,DnCNN,0.2500,20,0,noisy random-path synthetic OFDM,comb,0.75110887,0.37555443,0.43763695,,0.0788,stage2bc,reused
channel,pilot=0.2500; snr=20,Enhanced-DnCNN,0.2500,20,0,noisy random-path synthetic OFDM,comb,0.75221018,0.37610509,0.43790925,,0.2314,stage2bc,reused
channel,pilot=0.2500; snr=20,PICASSO-rec,0.2500,20,0,noisy random-path synthetic OFDM,comb,0.76030709,0.38015354,0.44384971,,0.2155,stage2bc,reused
channel,pilot=0.2500; snr=20,PICASSO-rec-physics,0.2500,20,0,noisy random-path synthetic OFDM,comb,0.74194315,0.37097158,0.43595418,,0.2176,stage2bc,reused
channel,pilot=0.1250; snr=10,LS,0.1250,10,0,noisy random-path synthetic OFDM,comb,0.88732347,0.44366173,0.51702781,,0.0126,stage2bc,reused
channel,pilot=0.1250; snr=10,DnCNN,0.1250,10,0,noisy random-path synthetic OFDM,comb,0.88653161,0.44326580,0.51678929,,0.0902,stage2bc,reused
channel,pilot=0.1250; snr=10,Enhanced-DnCNN,0.1250,10,0,noisy random-path synthetic OFDM,comb,0.88713710,0.44356855,0.51696923,,0.2316,stage2bc,reused
channel,pilot=0.1250; snr=10,PICASSO-rec,0.1250,10,0,noisy random-path synthetic OFDM,comb,0.88028525,0.44014262,0.51458202,,0.2187,stage2bc,reused
channel,pilot=0.1250; snr=10,PICASSO-rec-physics,0.1250,10,0,noisy random-path synthetic OFDM,comb,0.88475543,0.44237772,0.51594023,,0.2152,stage2bc,reused
channel,pilot=0.1250; snr=20,LS,0.1250,20,0,noisy random-path synthetic OFDM,comb,0.87590462,0.43795231,0.50163157,,0.0104,stage2bc,reused
channel,pilot=0.1250; snr=20,DnCNN,0.1250,20,0,noisy random-path synthetic OFDM,comb,0.87550779,0.43775389,0.50161654,,0.0875,stage2bc,reused
