ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
model,pilot=0.1250; snr=10,LS,0.1250,10,0,synthetic,comb,0.88725827,0.44362913,0.51677794,,0.2533,stage3a_larger,reused
model,pilot=0.1250; snr=10,DnCNN,0.1250,10,0,synthetic,comb,0.86994359,0.43497179,0.51093811,,1.8551,stage3a_larger,reused
model,pilot=0.1250; snr=10,Enhanced-DnCNN,0.1250,10,0,synthetic,comb,0.86911882,0.43455941,0.51066577,,1.9608,stage3a_larger,reused
model,pilot=0.1250; snr=10,PICASSO-rec,0.1250,10,0,synthetic,comb,0.86697955,0.43348977,0.50961037,,3.5305,stage3a_larger,reused
model,pilot=0.1250; snr=10,PICASSO-rec-physics,0.1250,10,0,synthetic,comb,0.86807840,0.43403920,0.50992938,,3.4185,stage3a_larger,reused
model,pilot=0.1250; snr=10,PICASSO-full,0.1250,10,0,synthetic,comb,0.86894470,0.43447235,0.51016828,,5.3070,stage3a_larger,reused
model,pilot=0.1250; snr=10,PICASSO-cond-full,0.1250,10,0,synthetic,comb,0.86821252,0.43410626,0.50997335,,5.3301,stage3a_larger,reused
model,pilot=0.1250; snr=20,LS,0.1250,20,0,synthetic,comb,0.87591979,0.43795989,0.50145511,,0.0228,stage3a_larger,reused
model,pilot=0.1250; snr=20,DnCNN,0.1250,20,0,synthetic,comb,0.85711569,0.42855784,0.49586114,,0.7308,stage3a_larger,reused
model,pilot=0.1250; snr=20,Enhanced-DnCNN,0.1250,20,0,synthetic,comb,0.85816641,0.42908321,0.49677641,,1.9413,stage3a_larger,reused
model,pilot=0.1250; snr=20,PICASSO-rec,0.1250,20,0,synthetic,comb,0.85486131,0.42743066,0.49464438,,3.4250,stage3a_larger,reused
model,pilot=0.1250; snr=20,PICASSO-rec-physics,0.1250,20,0,synthetic,comb,0.85641184,0.42820592,0.49518506,,3.4368,stage3a_larger,reused
