ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=0; pattern=irregular,LS,0.5000,0,0,CDL-A,irregular,0.99958551,0.49979275,0.57175419,0.99958551,0.3243,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=0; pattern=irregular,Enhanced-DnCNN,0.5000,0,0,CDL-A,irregular,0.99428129,0.49714065,0.57023536,0.99428129,1.4556,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=0; pattern=irregular,PICASSO-rec,0.5000,0,0,CDL-A,irregular,0.77497491,0.38748746,0.49902940,0.77497491,0.6036,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=0; pattern=irregular,PICASSO-rec-physics,0.5000,0,0,CDL-A,irregular,0.84164295,0.42082147,0.52271526,0.84164295,0.4628,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=60; pattern=irregular,LS,0.5000,0,60,CDL-A,irregular,0.99960524,0.49980262,0.57177739,0.99960524,0.0162,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=60; pattern=irregular,Enhanced-DnCNN,0.5000,0,60,CDL-A,irregular,0.99523346,0.49761673,0.57051736,0.99523346,0.2413,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=60; pattern=irregular,PICASSO-rec,0.5000,0,60,CDL-A,irregular,0.75643891,0.37821946,0.49262051,0.75643891,0.4522,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=60; pattern=irregular,PICASSO-rec-physics,0.5000,0,60,CDL-A,irregular,0.83295771,0.41647886,0.51985078,0.83295771,0.4510,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=120; pattern=irregular,LS,0.5000,0,120,CDL-A,irregular,0.99962007,0.49981003,0.57181703,0.36417162,0.0134,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=120; pattern=irregular,Enhanced-DnCNN,0.5000,0,120,CDL-A,irregular,0.99739081,0.49869540,0.57116345,0.36335927,0.2421,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=120; pattern=irregular,PICASSO-rec,0.5000,0,120,CDL-A,irregular,0.74420990,0.37210495,0.48841298,0.27109589,0.4588,stage4,reused
robustness,pilot=0.5000; snr=0; profile=CDL-A; velocity=120; pattern=irregular,PICASSO-rec-physics,0.5000,0,120,CDL-A,irregular,0.82228184,0.41114092,0.51653279,0.29955155,0.4511,stage4,reused
robustness,pilot=0.5000; snr=10; profile=CDL-A; velocity=0; pattern=irregular,LS,0.5000,10,0,CDL-A,irregular,0.55060969,0.27530485,0.37913177,0.55060969,0.0146,stage4,reused
