ablation_group,variant,channel_profile,seed,pilot_ratio,snr_db,velocity,pilot_pattern,nmse,mse,mae,pilot_consistency_error,doppler_robustness,runtime_seconds,num_parameters,delta_nmse_vs_base,contribution_label
architecture,PICASSO-rec-base,CDL-A,42,0.1250,10,60,comb,0.84645356,0.42322678,0.51375097,0.00571417,0.84645356,4.1116,445506,0.00000000,neutral
architecture,PICASSO-rec + refinement blocks only,CDL-A,42,0.1250,10,60,comb,0.84669147,0.42334574,0.51366487,0.00542231,0.84669147,5.1832,593218,0.00023791,neutral
architecture,PICASSO-rec + multi-scale fusion only,CDL-A,42,0.1250,10,60,comb,0.84609076,0.42304538,0.51358530,0.00560249,0.84609076,4.4893,494850,-0.00036280,neutral
architecture,PICASSO-rec + SE attention only,CDL-A,42,0.1250,10,60,comb,0.84606068,0.42303034,0.51362713,0.00493621,0.84606068,4.0750,446602,-0.00039288,neutral
architecture,PICASSO-rec + FiLM condition only,CDL-A,42,0.1250,10,60,comb,0.84567399,0.42283700,0.51348001,0.00546631,0.84567399,4.1504,445890,-0.00077957,neutral
architecture,PICASSO-rec + refinement + multi-scale,CDL-A,42,0.1250,10,60,comb,0.84670246,0.42335123,0.51371175,0.00566146,0.84670246,5.6801,642562,0.00024890,neutral
architecture,PICASSO-rec + refinement + multi-scale + SE,CDL-A,42,0.1250,10,60,comb,0.84668615,0.42334308,0.51377861,0.00537356,0.84668615,5.7580,643658,0.00023259,neutral
architecture,PICASSO-rec-enhanced full architecture,CDL-A,42,0.1250,10,60,comb,0.84610748,0.42305374,0.51361501,0.00527775,0.84610748,5.9550,644042,-0.00034608,neutral
architecture,PICASSO-rec-base,CDL-A,123,0.1250,10,60,comb,0.84474619,0.42237309,0.51243499,0.00520108,0.84474619,4.0394,445506,0.00000000,neutral
architecture,PICASSO-rec + refinement blocks only,CDL-A,123,0.1250,10,60,comb,0.84637411,0.42318705,0.51276597,0.00557807,0.84637411,5.2178,593218,0.00162792,negative
architecture,PICASSO-rec + multi-scale fusion only,CDL-A,123,0.1250,10,60,comb,0.84485842,0.42242921,0.51249288,0.00512212,0.84485842,4.5225,494850,0.00011223,neutral
architecture,PICASSO-rec + SE attention only,CDL-A,123,0.1250,10,60,comb,0.84441443,0.42220721,0.51238340,0.00487508,0.84441443,4.1196,446602,-0.00033176,neutral
architecture,PICASSO-rec + FiLM condition only,CDL-A,123,0.1250,10,60,comb,0.84468164,0.42234082,0.51254772,0.00507781,0.84468164,4.1487,445890,-0.00006455,neutral
architecture,PICASSO-rec + refinement + multi-scale,CDL-A,123,0.1250,10,60,comb,0.84629545,0.42314772,0.51279141,0.00575619,0.84629545,5.7162,642562,0.00154926,negative
architecture,PICASSO-rec + refinement + multi-scale + SE,CDL-A,123,0.1250,10,60,comb,0.84520695,0.42260347,0.51254517,0.00492993,0.84520695,5.7853,643658,0.00046076,neutral
architecture,PICASSO-rec-enhanced full architecture,CDL-A,123,0.1250,10,60,comb,0.84417692,0.42208846,0.51230876,0.00459530,0.84417692,5.9282,644042,-0.00056927,neutral
architecture,PICASSO-rec-base,CDL-A,2026,0.1250,10,60,comb,0.84957598,0.42478799,0.51415566,0.00516387,0.84957598,4.0551,445506,0.00000000,neutral
architecture,PICASSO-rec + refinement blocks only,CDL-A,2026,0.1250,10,60,comb,0.84993826,0.42496913,0.51429202,0.00531906,0.84993826,5.2306,593218,0.00036228,neutral
architecture,PICASSO-rec + multi-scale fusion only,CDL-A,2026,0.1250,10,60,comb,0.84905700,0.42452850,0.51407073,0.00507735,0.84905700,4.5203,494850,-0.00051898,neutral
architecture,PICASSO-rec + SE attention only,CDL-A,2026,0.1250,10,60,comb,0.84897999,0.42449000,0.51414371,0.00499084,0.84897999,4.1147,446602,-0.00059599,neutral
architecture,PICASSO-rec + FiLM condition only,CDL-A,2026,0.1250,10,60,comb,0.84831819,0.42415909,0.51394303,0.00539695,0.84831819,4.1948,445890,-0.00125779,positive
architecture,PICASSO-rec + refinement + multi-scale,CDL-A,2026,0.1250,10,60,comb,0.85000342,0.42500171,0.51419185,0.00527557,0.85000342,5.7368,642562,0.00042744,neutral
architecture,PICASSO-rec + refinement + multi-scale + SE,CDL-A,2026,0.1250,10,60,comb,0.85012543,0.42506272,0.51431708,0.00488784,0.85012543,5.8152,643658,0.00054945,neutral
architecture,PICASSO-rec-enhanced full architecture,CDL-A,2026,0.1250,10,60,comb,0.84847461,0.42423730,0.51386669,0.00485367,0.84847461,5.9072,644042,-0.00110137,positive
architecture,PICASSO-rec-base,CDL-B,42,0.1250,10,60,comb,0.82468095,0.41234048,0.50461552,0.00602137,0.82468095,4.0609,445506,0.00000000,neutral
