ablation_group,variant,channel_profile,seed,pilot_ratio,snr_db,velocity,pilot_pattern,nmse,mse,mae,pilot_consistency_error,doppler_robustness,runtime_seconds,num_parameters,delta_nmse_vs_base,contribution_label
baseline,LS,CDL-A,42,0.1250,10,60,comb,0.88731161,0.44365580,0.52903473,0.00000000,0.88731161,0.2587,0,0.04085805,negative
baseline,Enhanced-DnCNN,CDL-A,42,0.1250,10,60,comb,0.84715705,0.42357852,0.51476398,0.00437847,0.84715705,3.0904,225090,0.00070349,neutral
baseline,PICASSO-rec-base,CDL-A,42,0.1250,10,60,comb,0.84645356,0.42322678,0.51375097,0.00571417,0.84645356,4.1116,445506,0.00000000,neutral
baseline,LS,CDL-A,123,0.1250,10,60,comb,0.88735214,0.44367607,0.52853112,0.00000000,0.88735214,0.0120,0,0.04260595,negative
baseline,Enhanced-DnCNN,CDL-A,123,0.1250,10,60,comb,0.84578368,0.42289184,0.51372530,0.00433624,0.84578368,2.0806,225090,0.00103749,negative
baseline,PICASSO-rec-base,CDL-A,123,0.1250,10,60,comb,0.84474619,0.42237309,0.51243499,0.00520108,0.84474619,4.0394,445506,0.00000000,neutral
baseline,LS,CDL-A,2026,0.1250,10,60,comb,0.88742021,0.44371010,0.52864546,0.00000000,0.88742021,0.0122,0,0.03784423,negative
baseline,Enhanced-DnCNN,CDL-A,2026,0.1250,10,60,comb,0.84702191,0.42351095,0.51419315,0.00395848,0.84702191,2.0836,225090,-0.00255407,positive
baseline,PICASSO-rec-base,CDL-A,2026,0.1250,10,60,comb,0.84957598,0.42478799,0.51415566,0.00516387,0.84957598,4.0551,445506,0.00000000,neutral
baseline,LS,CDL-B,42,0.1250,10,60,comb,0.88646416,0.44323208,0.52509591,0.00000000,0.88646416,0.0127,0,0.06178321,negative
baseline,Enhanced-DnCNN,CDL-B,42,0.1250,10,60,comb,0.83454135,0.41727068,0.50826864,0.00542584,0.83454135,2.1263,225090,0.00986040,negative
baseline,PICASSO-rec-base,CDL-B,42,0.1250,10,60,comb,0.82468095,0.41234048,0.50461552,0.00602137,0.82468095,4.0609,445506,0.00000000,neutral
baseline,LS,CDL-B,123,0.1250,10,60,comb,0.88653696,0.44326848,0.52487679,0.00000000,0.88653696,0.0160,0,0.06272757,negative
baseline,Enhanced-DnCNN,CDL-B,123,0.1250,10,60,comb,0.83154677,0.41577338,0.50714728,0.00588047,0.83154677,2.1001,225090,0.00773738,negative
baseline,PICASSO-rec-base,CDL-B,123,0.1250,10,60,comb,0.82380939,0.41190469,0.50395902,0.00538418,0.82380939,4.0416,445506,0.00000000,neutral
baseline,LS,CDL-B,2026,0.1250,10,60,comb,0.88694131,0.44347066,0.52526236,0.00000000,0.88694131,0.0158,0,0.06768943,negative
baseline,Enhanced-DnCNN,CDL-B,2026,0.1250,10,60,comb,0.83039884,0.41519942,0.50638056,0.00458026,0.83039884,2.0928,225090,0.01114696,negative
baseline,PICASSO-rec-base,CDL-B,2026,0.1250,10,60,comb,0.81925188,0.40962594,0.50230777,0.00639557,0.81925188,4.0467,445506,0.00000000,neutral
baseline,LS,CDL-C,42,0.1250,10,60,comb,0.88706636,0.44353318,0.52466285,0.00000000,0.88706636,0.0131,0,0.02276268,negative
baseline,Enhanced-DnCNN,CDL-C,42,0.1250,10,60,comb,0.86460140,0.43230070,0.51730007,0.00464190,0.86460140,2.0814,225090,0.00029772,neutral
baseline,PICASSO-rec-base,CDL-C,42,0.1250,10,60,comb,0.86430368,0.43215184,0.51677588,0.00509293,0.86430368,4.0332,445506,0.00000000,neutral
baseline,LS,CDL-C,123,0.1250,10,60,comb,0.88678332,0.44339166,0.52429110,0.00000000,0.88678332,0.0129,0,0.01738429,negative
baseline,Enhanced-DnCNN,CDL-C,123,0.1250,10,60,comb,0.86899240,0.43449620,0.51842737,0.00388348,0.86899240,2.1290,225090,-0.00040663,neutral
baseline,PICASSO-rec-base,CDL-C,123,0.1250,10,60,comb,0.86939903,0.43469951,0.51819147,0.00513933,0.86939903,4.0876,445506,0.00000000,neutral
baseline,LS,CDL-C,2026,0.1250,10,60,comb,0.88794728,0.44397364,0.52449971,0.00000000,0.88794728,0.0166,0,0.02409098,negative
baseline,Enhanced-DnCNN,CDL-C,2026,0.1250,10,60,comb,0.86604221,0.43302111,0.51719095,0.00426097,0.86604221,2.0982,225090,0.00218591,negative
baseline,PICASSO-rec-base,CDL-C,2026,0.1250,10,60,comb,0.86385630,0.43192815,0.51613636,0.00531129,0.86385630,4.0743,445506,0.00000000,neutral
