ablation_group,variant,channel_profile,seed,pilot_ratio,snr_db,velocity,pilot_pattern,nmse,mse,mae,pilot_consistency_error,doppler_robustness,runtime_seconds,num_parameters,delta_nmse_vs_base,contribution_label
gan,PICASSO-rec without GAN,CDL-A,42,0.1250,10,60,comb,0.84645356,0.42322678,0.51375097,0.00571417,0.84645356,4.1116,445506,0.00000000,neutral
gan,PICASSO-rec + output-level GAN,CDL-A,42,0.1250,10,60,comb,1.11258712,0.55629356,0.58350818,0.03218816,1.11258712,6.4378,723107,0.26613356,negative
gan,PICASSO-rec + feature-level GAN,CDL-A,42,0.1250,10,60,comb,1.01593573,0.50796787,0.56643987,0.08498563,1.01593573,6.4578,723683,0.16948217,negative
gan,PICASSO-rec + light adversarial loss,CDL-A,42,0.1250,10,60,comb,0.84699191,0.42349596,0.51386286,0.00536398,0.84699191,6.4709,723107,0.00053835,neutral
gan,PICASSO-rec without GAN,CDL-A,123,0.1250,10,60,comb,0.84474619,0.42237309,0.51243499,0.00520108,0.84474619,4.0394,445506,0.00000000,neutral
gan,PICASSO-rec + output-level GAN,CDL-A,123,0.1250,10,60,comb,1.24096408,0.62048204,0.60933720,0.03583622,1.24096408,6.4024,723107,0.39621789,negative
gan,PICASSO-rec + feature-level GAN,CDL-A,123,0.1250,10,60,comb,0.86098433,0.43049216,0.51665913,0.00242038,0.86098433,6.4806,723683,0.01623814,negative
gan,PICASSO-rec + light adversarial loss,CDL-A,123,0.1250,10,60,comb,0.84676759,0.42338379,0.51289679,0.00456797,0.84676759,6.4428,723107,0.00202140,negative
gan,PICASSO-rec without GAN,CDL-A,2026,0.1250,10,60,comb,0.84957598,0.42478799,0.51415566,0.00516387,0.84957598,4.0551,445506,0.00000000,neutral
gan,PICASSO-rec + output-level GAN,CDL-A,2026,0.1250,10,60,comb,1.15528196,0.57764098,0.59630892,0.05433946,1.15528196,6.4573,723107,0.30570598,negative
gan,PICASSO-rec + feature-level GAN,CDL-A,2026,0.1250,10,60,comb,1.15208340,0.57604170,0.59737180,0.06929432,1.15208340,6.4800,723683,0.30250742,negative
gan,PICASSO-rec + light adversarial loss,CDL-A,2026,0.1250,10,60,comb,0.85041091,0.42520545,0.51433113,0.00465366,0.85041091,6.4504,723107,0.00083493,neutral
gan,PICASSO-rec without GAN,CDL-B,42,0.1250,10,60,comb,0.82468095,0.41234048,0.50461552,0.00602137,0.82468095,4.0609,445506,0.00000000,neutral
gan,PICASSO-rec + output-level GAN,CDL-B,42,0.1250,10,60,comb,1.05404627,0.52702314,0.56802011,0.02498887,1.05404627,6.4339,723107,0.22936532,negative
gan,PICASSO-rec + feature-level GAN,CDL-B,42,0.1250,10,60,comb,0.83660318,0.41830159,0.50851017,0.00355137,0.83660318,6.4861,723683,0.01192223,negative
gan,PICASSO-rec + light adversarial loss,CDL-B,42,0.1250,10,60,comb,0.82491802,0.41245901,0.50465479,0.00560393,0.82491802,6.4355,723107,0.00023707,neutral
gan,PICASSO-rec without GAN,CDL-B,123,0.1250,10,60,comb,0.82380939,0.41190469,0.50395902,0.00538418,0.82380939,4.0416,445506,0.00000000,neutral
gan,PICASSO-rec + output-level GAN,CDL-B,123,0.1250,10,60,comb,1.08934185,0.54467092,0.58031678,0.06277640,1.08934185,6.4319,723107,0.26553246,negative
gan,PICASSO-rec + feature-level GAN,CDL-B,123,0.1250,10,60,comb,0.86975138,0.43487569,0.51810636,0.00708072,0.86975138,6.5104,723683,0.04594199,negative
gan,PICASSO-rec + light adversarial loss,CDL-B,123,0.1250,10,60,comb,0.82516368,0.41258184,0.50423796,0.00448911,0.82516368,6.4154,723107,0.00135429,negative
gan,PICASSO-rec without GAN,CDL-B,2026,0.1250,10,60,comb,0.81925188,0.40962594,0.50230777,0.00639557,0.81925188,4.0467,445506,0.00000000,neutral
gan,PICASSO-rec + output-level GAN,CDL-B,2026,0.1250,10,60,comb,1.11370528,0.55685264,0.58825760,0.08634166,1.11370528,6.3696,723107,0.29445340,negative
gan,PICASSO-rec + feature-level GAN,CDL-B,2026,0.1250,10,60,comb,1.07650155,0.53825077,0.57769999,0.08553713,1.07650155,6.4503,723683,0.25724967,negative
gan,PICASSO-rec + light adversarial loss,CDL-B,2026,0.1250,10,60,comb,0.81950304,0.40975152,0.50232093,0.00573539,0.81950304,6.4061,723107,0.00025116,neutral
gan,PICASSO-rec without GAN,CDL-C,42,0.1250,10,60,comb,0.86430368,0.43215184,0.51677588,0.00509293,0.86430368,4.0332,445506,0.00000000,neutral
gan,PICASSO-rec + output-level GAN,CDL-C,42,0.1250,10,60,comb,1.18076134,0.59038067,0.59974612,0.03413744,1.18076134,6.4409,723107,0.31645766,negative
gan,PICASSO-rec + feature-level GAN,CDL-C,42,0.1250,10,60,comb,0.86700018,0.43350009,0.51771715,0.00251471,0.86700018,6.5565,723683,0.00269650,negative
gan,PICASSO-rec + light adversarial loss,CDL-C,42,0.1250,10,60,comb,0.86432981,0.43216491,0.51677562,0.00479245,0.86432981,6.5108,723107,0.00002613,neutral
gan,PICASSO-rec without GAN,CDL-C,123,0.1250,10,60,comb,0.86939903,0.43469951,0.51819147,0.00513933,0.86939903,4.0876,445506,0.00000000,neutral
gan,PICASSO-rec + output-level GAN,CDL-C,123,0.1250,10,60,comb,1.14247298,0.57123649,0.58758107,0.02089302,1.14247298,6.4250,723107,0.27307395,negative
gan,PICASSO-rec + feature-level GAN,CDL-C,123,0.1250,10,60,comb,0.87563847,0.43781924,0.52007738,0.00252844,0.87563847,6.5495,723683,0.00623944,negative
gan,PICASSO-rec + light adversarial loss,CDL-C,123,0.1250,10,60,comb,0.87033372,0.43516686,0.51839179,0.00437129,0.87033372,6.4410,723107,0.00093469,neutral
gan,PICASSO-rec without GAN,CDL-C,2026,0.1250,10,60,comb,0.86385630,0.43192815,0.51613636,0.00531129,0.86385630,4.0743,445506,0.00000000,neutral
gan,PICASSO-rec + output-level GAN,CDL-C,2026,0.1250,10,60,comb,1.16085348,0.58042674,0.59632595,0.07407898,1.16085348,6.4333,723107,0.29699718,negative
gan,PICASSO-rec + feature-level GAN,CDL-C,2026,0.1250,10,60,comb,1.14910686,0.57455343,0.59358265,0.10338217,1.14910686,6.4636,723683,0.28525056,negative
gan,PICASSO-rec + light adversarial loss,CDL-C,2026,0.1250,10,60,comb,0.86437023,0.43218511,0.51629665,0.00489727,0.86437023,6.4366,723107,0.00051393,neutral
