ablation_group,variant,channel_profile,seed,pilot_ratio,snr_db,velocity,pilot_pattern,nmse,mse,mae,pilot_consistency_error,doppler_robustness,runtime_seconds,num_parameters,delta_nmse_vs_base,contribution_label
loss,PICASSO-rec only,CDL-A,42,0.1250,10,60,comb,0.84645356,0.42322678,0.51375097,0.00571417,0.84645356,4.1116,445506,0.00000000,neutral
loss,PICASSO-rec + pilot consistency,CDL-A,42,0.1250,10,60,comb,0.84609382,0.42304691,0.51363350,0.00257111,0.84609382,4.0440,445506,-0.00035974,neutral
loss,PICASSO-rec + frequency consistency,CDL-A,42,0.1250,10,60,comb,0.84620458,0.42310229,0.51362944,0.00448487,0.84620458,4.0540,445506,-0.00024898,neutral
loss,PICASSO-rec + delay-domain sparsity,CDL-A,42,0.1250,10,60,comb,0.84630884,0.42315442,0.51372370,0.00606481,0.84630884,4.0408,445506,-0.00014472,neutral
loss,PICASSO-rec + energy preservation,CDL-A,42,0.1250,10,60,comb,0.84711090,0.42355545,0.51386160,0.00504562,0.84711090,4.0497,445506,0.00065734,neutral
loss,PICASSO-rec + pilot + frequency,CDL-A,42,0.1250,10,60,comb,0.84613402,0.42306701,0.51366338,0.00227722,0.84613402,4.0486,445506,-0.00031954,neutral
loss,PICASSO-rec + pilot + delay,CDL-A,42,0.1250,10,60,comb,0.84599158,0.42299579,0.51360707,0.00276364,0.84599158,4.0314,445506,-0.00046198,neutral
loss,PICASSO-rec-full physics,CDL-A,42,0.1250,10,60,comb,0.84486298,0.42243149,0.51381962,0.00383741,0.84486298,4.0290,445506,-0.00159058,positive
loss,PICASSO-rec only,CDL-A,123,0.1250,10,60,comb,0.84474619,0.42237309,0.51243499,0.00520108,0.84474619,4.0394,445506,0.00000000,neutral
loss,PICASSO-rec + pilot consistency,CDL-A,123,0.1250,10,60,comb,0.84478475,0.42239238,0.51256019,0.00247515,0.84478475,4.0689,445506,0.00003856,neutral
loss,PICASSO-rec + frequency consistency,CDL-A,123,0.1250,10,60,comb,0.84475794,0.42237897,0.51247220,0.00414459,0.84475794,4.0699,445506,0.00001175,neutral
loss,PICASSO-rec + delay-domain sparsity,CDL-A,123,0.1250,10,60,comb,0.84457006,0.42228503,0.51240472,0.00557572,0.84457006,4.0695,445506,-0.00017613,neutral
loss,PICASSO-rec + energy preservation,CDL-A,123,0.1250,10,60,comb,0.84558685,0.42279343,0.51259114,0.00453914,0.84558685,4.0637,445506,0.00084066,neutral
loss,PICASSO-rec + pilot + frequency,CDL-A,123,0.1250,10,60,comb,0.84468144,0.42234072,0.51256901,0.00210834,0.84468144,4.0704,445506,-0.00006475,neutral
loss,PICASSO-rec + pilot + delay,CDL-A,123,0.1250,10,60,comb,0.84460421,0.42230210,0.51251088,0.00263852,0.84460421,4.0644,445506,-0.00014198,neutral
loss,PICASSO-rec-full physics,CDL-A,123,0.1250,10,60,comb,0.84306274,0.42153137,0.51260878,0.00359704,0.84306274,4.0832,445506,-0.00168345,positive
loss,PICASSO-rec only,CDL-A,2026,0.1250,10,60,comb,0.84957598,0.42478799,0.51415566,0.00516387,0.84957598,4.0551,445506,0.00000000,neutral
loss,PICASSO-rec + pilot consistency,CDL-A,2026,0.1250,10,60,comb,0.84944469,0.42472234,0.51421534,0.00264119,0.84944469,4.1061,445506,-0.00013129,neutral
loss,PICASSO-rec + frequency consistency,CDL-A,2026,0.1250,10,60,comb,0.84957203,0.42478602,0.51417698,0.00419752,0.84957203,4.0533,445506,-0.00000395,neutral
loss,PICASSO-rec + delay-domain sparsity,CDL-A,2026,0.1250,10,60,comb,0.84937848,0.42468924,0.51410474,0.00549467,0.84937848,4.0568,445506,-0.00019750,neutral
loss,PICASSO-rec + energy preservation,CDL-A,2026,0.1250,10,60,comb,0.85030685,0.42515343,0.51427165,0.00434989,0.85030685,4.0694,445506,0.00073087,neutral
loss,PICASSO-rec + pilot + frequency,CDL-A,2026,0.1250,10,60,comb,0.84951039,0.42475519,0.51425530,0.00231374,0.84951039,4.0539,445506,-0.00006559,neutral
loss,PICASSO-rec + pilot + delay,CDL-A,2026,0.1250,10,60,comb,0.84925927,0.42462964,0.51415859,0.00275897,0.84925927,4.0578,445506,-0.00031671,neutral
